Simbol,Izdavatelj,ISIN,Broj izdanih,Nominala,Datum uvrštenja,url
THNK,"TEHNIKA dioničko društvo za graditeljstvo, inženjering, proizvodnju i trgovinu",HRTHNKRA0004,189.460,"900,00 HRK",17.4.2003,http://www.zse.hr/default.aspx?id=10006&dionica=241
TISK,TISAK trgovačko dioničko društvo,HRTISKRA0008,2.386.587,"100,00 HRK",4.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=341
TKPR,"TEKSTILPROMET d.d., trgovina na veliko i malo",HRTKPRRA0000,81.842,"400,00 HRK",8.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=932
TNKC,"TANKERKOMERC dioničko društvo za trgovinu, turizam i usluge",HRTNKCRA0009,34.182,"1.880,00 HRK",10.7.2001,http://www.zse.hr/default.aspx?id=10006&dionica=940
TPNG,TANKERSKA NEXT GENERATION brodarsko dioničko društvo,HRTPNGRA0000,8.733.345,"0,00 HRK",12.2.2015,http://www.zse.hr/default.aspx?id=10006&dionica=1495
TRFM,TERRA FIRMA dioničko društvo za ulaganje u nekretnine,HRTRFMRA0000,36.000,"100,00 HRK",6.4.2005,http://www.zse.hr/default.aspx?id=10006&dionica=402
TRMD,TERRA MEDITERRANEA dioničko društvo za ulaganje u nekretnine,HRTRMDRA0002,230.997,"100,00 HRK",18.5.2006,http://www.zse.hr/default.aspx?id=10006&dionica=448
TUHO,TURISTHOTEL dioničko društvo za ugostiteljstvo i turizam,HRTUHORA0001,366.756,"580,00 HRK",18.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=960
ULPL,"ULJANIK PLOVIDBA Pomorski promet, dioničko društvo",HRULPLRA0002,580.000,"400,00 HRK",18.9.2003,http://www.zse.hr/default.aspx?id=10006&dionica=356
ULJN,"ULJANIK - brodogradnja, strojogradnja, elektroindustrija, oprema, plovidba, trgovina, turizam, d. d.",HRULJNRA0008,3.356.250,"30,00 HRK",21.6.2004,http://www.zse.hr/default.aspx?id=10006&dionica=389
VART,VARTEKS varaždinska tekstilna industrija d. d.,HRVARTR10005,2.220.807,"10,00 HRK",19.4.1994,http://www.zse.hr/default.aspx?id=10006&dionica=10
VDZG,VODOPRIVREDA ZAGREB dioničko društvo,HRVDZGRA0006,395.449,"100,00 HRK",29.10.2008,http://www.zse.hr/default.aspx?id=10006&dionica=1122
VIRO,VIRO TVORNICA ŠEĆERA dioničko društvo za proizvodnju i trgovinu,HRVIRORA0001,1.386.667,"0,00 HRK",20.4.2006,http://www.zse.hr/default.aspx?id=10006&dionica=430
VJSN,VJESNIK dioničko društvo tiskarsko izdavačke djelatnosti,HRVJSNRA0000,1.061.683,"100,00 HRK",28.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=302
VLEN,BRODOGRADILIŠTE VIKTOR LENAC dioničko društvo,HRVLENRB0001,16.813.247,"10,00 HRK",12.9.2008,http://www.zse.hr/default.aspx?id=10006&dionica=1116
VPIK,VUKOVARSKI POLJOPRIVREDNO INDUSTRIJSKI KOMBINAT d.d.,HRVPIKRA0007,1.503.254,"40,00 HRK",28.11.2005,http://www.zse.hr/default.aspx?id=10006&dionica=426
ZABA,ZAGREBAČKA BANKA DIONIČKO DRUŠTVO,HRZABARA0009,320.241.955,"20,00 HRK",25.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=94
ZB,Zagrebačka burza d.d.,HRZB00RA0003,4.635.700,"10,00 HRK",31.8.2016,http://www.zse.hr/default.aspx?id=10006&dionica=1625
ZPKL,"ZAGREBAČKE PEKARNE KLARA, dioničko društvo za proizvodnju ugostiteljstvo, transport, unutarnju i vanjsku trgovinu",HRZPKLRA0008,283.760,"400,00 HRK",27.6.2003,http://www.zse.hr/default.aspx?id=10006&dionica=261
ZTNJ,ŽITNJAK proizvodnja i promet robom d.d.,HRZTNJRA0005,205.643,"690,00 HRK",23.2.2007,http://www.zse.hr/default.aspx?id=10006&dionica=60
ZVCV,"ZVEČEVO, prehrambena industrija, d. d.",HRZVCVRA0008,307.808,"200,00 HRK",28.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=1027
ZVZD,"ZVIJEZDA dioničko društvo za proizvodnju, trgovinu i usluge",HRZVZDRA0003,100.257,"2.000,00 HRK",9.2.2005,http://www.zse.hr/default.aspx?id=10006&dionica=406
